p,f,density,n_regiones,n_empresas,n_contratos,avg_degree,n_components,size_lcc,diameter_lcc,avg_path_lcc,modularity_empresas,hhi_monto_global
2003-2006,red_2003-2006.html,0.03123399897593446,2,61,79,1.9365079365079365,2,43,2.0,1.9534883720930232,0.0,0.10683285530189607
2007-2010,red_2007-2010.html,0.006688963210702341,2,298,351,2.0,1,300,4.0,2.856098104793757,0.3244170096021948,0.10150848641384079
2011-2014,red_2011-2014.html,0.004115020241225324,2,488,689,2.012244897959184,1,490,4.0,2.966520595968449,0.7400708387347018,0.017003551923782074
2015-2018,red_2015-2018.html,0.005713376303015835,2,353,463,2.0225352112676056,1,355,4.0,2.8527094772021964,0.6195746527777778,0.017416977797921254
2019-2022,red_2019-2022.html,0.004209763545863131,2,480,666,2.024896265560166,1,482,4.0,2.8083436133228665,0.6918282548476453,0.009757280234767787
2023-2026,red_2023-2026.html,0.019044062733383122,2,102,116,1.9615384615384615,2,94,2.0,1.9787234042553192,0.08000000000000004,0.06847660133196491
